epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
51,43.2643,0.00926,0.02329,0.00758,0.96273,0.9944,0.02625,0.02035,0,0.00141485,0.00141485,0.00141485
52,44.1099,0.00935,0.01898,0.00792,0.96273,0.9944,0.02625,0.02035,0,0.00141457,0.00141457,0.00141457
53,44.9569,0.00889,0.0222,0.00817,0.96784,0.99514,0.0228,0.01754,0,0.00141429,0.00141429,0.00141429
54,45.7901,0.00842,0.02127,0.00883,0.96784,0.99514,0.0228,0.01754,0,0.001414,0.001414,0.001414
55,46.7141,0.00919,0.01751,0.00744,0.96784,0.99514,0.0228,0.01754,0,0.00141372,0.00141372,0.00141372
56,47.5635,0.00879,0.01909,0.00725,0.96784,0.99514,0.0228,0.01754,0,0.00141344,0.00141344,0.00141344
57,48.4197,0.01168,0.02184,0.00744,0.96762,0.99533,0.02136,0.01805,0,0.00141316,0.00141316,0.00141316
58,49.234,0.00736,0.01901,0.00865,0.96762,0.99533,0.02136,0.01805,0,0.00141287,0.00141287,0.00141287
59,50.0308,0.17929,0.12746,0.10067,0.96762,0.99533,0.02136,0.01805,0,0.00141259,0.00141259,0.00141259
60,50.8418,0.00966,0.02056,0.012,0.96762,0.99533,0.02136,0.01805,0,0.00141231,0.00141231,0.00141231
61,51.6623,0.00867,0.0202,0.00768,0.96199,0.99471,0.02501,0.02073,0,0.00141202,0.00141202,0.00141202
62,52.5151,0.01329,0.02199,0.00993,0.96199,0.99471,0.02501,0.02073,0,0.00141174,0.00141174,0.00141174
63,53.3144,0.03543,0.06887,0.03683,0.96199,0.99471,0.02501,0.02073,0,0.00141146,0.00141146,0.00141146
64,54.1059,0.01518,0.0217,0.0113,0.96199,0.99471,0.02501,0.02073,0,0.00141117,0.00141117,0.00141117
65,54.9323,0.0108,0.02236,0.012,0.96887,0.99491,0.01971,0.01831,0,0.00141089,0.00141089,0.00141089
66,55.8112,0.01104,0.02263,0.01325,0.96887,0.99491,0.01971,0.01831,0,0.00141061,0.00141061,0.00141061
67,56.6761,0.01011,0.02148,0.01224,0.96887,0.99491,0.01971,0.01831,0,0.00141033,0.00141033,0.00141033
68,57.6107,0.0087,0.03158,0.01601,0.96887,0.99491,0.01971,0.01831,0,0.00141004,0.00141004,0.00141004
69,58.4825,0.01155,0.02213,0.01633,0.96009,0.99238,0.03109,0.02353,0,0.00140976,0.00140976,0.00140976
70,59.2844,0.0144,0.02153,0.0098,0.96009,0.99238,0.03109,0.02353,0,0.00140948,0.00140948,0.00140948
71,60.0552,0.02006,0.0217,0.01199,0.96009,0.99238,0.03109,0.02353,0,0.00140919,0.00140919,0.00140919
72,60.8747,0.01328,0.02064,0.01044,0.96009,0.99238,0.03109,0.02353,0,0.00140891,0.00140891,0.00140891
73,61.7233,0.01194,0.02167,0.00935,0.94987,0.99114,0.04088,0.02855,0,0.00140863,0.00140863,0.00140863
74,62.5431,0.01203,0.03328,0.00991,0.94987,0.99114,0.04088,0.02855,0,0.00140835,0.00140835,0.00140835
75,63.4374,0.01983,0.04205,0.01745,0.94987,0.99114,0.04088,0.02855,0,0.00140806,0.00140806,0.00140806
76,64.2584,0.04184,0.10381,0.02217,0.94987,0.99114,0.04088,0.02855,0,0.00140778,0.00140778,0.00140778
77,65.0548,0.02141,0.0298,0.01544,0.95078,0.99187,0.03847,0.02756,0,0.0014075,0.0014075,0.0014075
78,65.8527,0.00895,0.02045,0.01009,0.95078,0.99187,0.03847,0.02756,0,0.00140721,0.00140721,0.00140721
79,66.6878,0.0093,0.02791,0.00835,0.95078,0.99187,0.03847,0.02756,0,0.00140693,0.00140693,0.00140693
80,67.515,0.01522,0.02153,0.01602,0.95078,0.99187,0.03847,0.02756,0,0.00140665,0.00140665,0.00140665
81,68.3588,0.0083,0.01954,0.01052,0.96389,0.99378,0.0297,0.02105,0,0.00140636,0.00140636,0.00140636
82,69.1587,0.00926,0.01771,0.01137,0.96389,0.99378,0.0297,0.02105,0,0.00140608,0.00140608,0.00140608
83,70.0251,0.01375,0.02268,0.01332,0.96389,0.99378,0.0297,0.02105,0,0.0014058,0.0014058,0.0014058
84,70.8586,0.00996,0.02613,0.01108,0.96389,0.99378,0.0297,0.02105,0,0.00140552,0.00140552,0.00140552
85,71.6796,0.00639,0.01703,0.00925,0.96541,0.99362,0.03129,0.02041,0,0.00140523,0.00140523,0.00140523
86,72.4797,0.01157,0.01671,0.00926,0.96541,0.99362,0.03129,0.02041,0,0.00140495,0.00140495,0.00140495
87,73.2962,0.01719,0.02963,0.0082,0.96541,0.99362,0.03129,0.02041,0,0.00140467,0.00140467,0.00140467
88,74.1401,0.01397,0.02125,0.00903,0.96541,0.99362,0.03129,0.02041,0,0.00140438,0.00140438,0.00140438
89,74.9785,0.01116,0.02045,0.00823,0.96052,0.99286,0.03606,0.02322,0,0.0014041,0.0014041,0.0014041
90,75.7812,0.01139,0.01941,0.00676,0.96052,0.99286,0.03606,0.02322,0,0.00140382,0.00140382,0.00140382
91,76.5958,0.01168,0.02332,0.00873,0.96052,0.99286,0.03606,0.02322,0,0.00140354,0.00140354,0.00140354
92,77.4117,0.01196,0.01879,0.00558,0.96052,0.99286,0.03606,0.02322,0,0.00140325,0.00140325,0.00140325
93,78.2431,0.00976,0.01614,0.00541,0.96131,0.99321,0.03258,0.02259,0,0.00140297,0.00140297,0.00140297
94,79.0644,0.01287,0.02415,0.00834,0.96131,0.99321,0.03258,0.02259,0,0.00140269,0.00140269,0.00140269
95,79.8555,0.00816,0.01614,0.00557,0.96131,0.99321,0.03258,0.02259,0,0.0014024,0.0014024,0.0014024
96,80.6481,0.00996,0.01769,0.00575,0.96131,0.99321,0.03258,0.02259,0,0.00140212,0.00140212,0.00140212
97,81.4039,0.01106,0.02409,0.01367,0.96506,0.99387,0.02817,0.02058,0,0.00140184,0.00140184,0.00140184
